"test_name","times_ordered","total_net_revenue","avg_price","unique_patients"
"Liver Function Test Gold (LFT Gold)",8,7110.00,888.75,8
"Kidney/Renal Function Tests Gold (KFT Gold /RFT Gold)",6,6254.00,1042.33,6
"LupiKavach Health Screen  Package - Daisy",2,3580.00,1790.00,2
"Thyroid Profile Total",5,3300.00,660.00,5
"LIPID PROFILE",4,3000.00,750.00,4
"Testosterone (Free and Total), Serum",1,2500.00,2500.00,1
"HbA1c (Glycated Haemoglobin)",4,2340.00,585.00,4
"LupiKavach Health Package - Orchid",1,2250.00,2250.00,1
"Creatinine, Serum",11,2200.00,200.00,11
"LUPIKAVACH HEALTH SCREEN PACKAGE- DAHLIA",2,1980.00,990.00,2
